Title,Price,GPU_Category,VRAM,Description,Link
Geforce GTX 1660 Super Ghost / Takuu voimassa,120.00,1660,6 gb,"Lisätiedot
			Erinomaisesti toimiva ja tehokas Geforce GTX 1660
Super 6 GB  näytönohjain, joka suunniteltu
pelaamiseen. Itse pelannut tällä mm. RDR2 ja
vastaavia pelejä. Ikää näytönohjaimella on pari
vuotta ja takuuta vajaa vuosi vielä jäljellä.Lisätiedothttps://www.verkkokauppa.com/fi/product/692974/Gainward-GeForce-GTX-1660-SUPER-Ghost-OC-naytonohjainOminaisuudet:Piiri: GeForce GTX 1660 SuperCUDA-ydinten määrä: 1408Kellotaajuus: 1830 MHz (Boost)Muisti: 6144 Mt, 192-bit GDDR6Muistin kellotaajuus: 14000 MHzVäylä: PCI-Express 3.01 x HDMI 2.0, Display Port 1.4. DVI-DMaksimiresoluutio: 7680 x 4320Näyttöjen maksimimäärä: 3NVLink/SLI-tuki: EiNVIDIA PhysX, CUDAAdaptive V-Sync -tukiG-SYNC -tukiOpenGL 4.5Mitat: 235 x 115 mm / 2 slotVirtaliittimet: 1 x 8-pinVirtalähdesuositus: 450 WNouto tai postit 6e lisätään hintaan.",https://www.tori.fi/uusimaa/Geforce_GTX_1660_Super_Ghost___Takuu_voimassa_118853369.htm?ca=18&w=1
XFX R9 390X DD 8Gb GDDR5,65.00,1060,8gb,"Lisätiedot
			Myydään otsikon kortti tarpeettomana
toimivuustakuulla. Tämä on 390:n tehokkaampi ""X""
versio jossa on mm. enemmän shadereita, kovemmat
tehot näkyvät hyvin kuvakaappauksen 3DMarkin Fire
Strike pisteissä. Nvidian kortteihin verrattuna tämän suorituskyky
on about GTX 1060:n luokkaa, mutta tässä on
enemmän muistia (8Gb). Näyttis on siistissä
kunnossa ja lämpötahnat on vaihdettu, mutta
tuulettimet eivät ole hiljaisimmasta päästä.Liittimet: HDMI, DisplayPort, 2xDVINouto tai lähetys, noudolla korttia saa
halutessaan testata ensin. Ostaja maksaa
mahdolliset postikulut. Maksutavat: käteinen,
Mobilepay, tilisiirto",https://www.tori.fi/uusimaa/XFX_R9_390X_DD_8Gb_GDDR5_118851263.htm?ca=18&w=1
Rog Strix Ge Force Rtx 3070,450.00,3070,Unknown,"Lisätiedot
			Myynnissä uudenveroinen näytönohjain. Nouto koivukylästä tai pk lisätään.",https://www.tori.fi/uusimaa/Rog_Strix_Ge_Force_Rtx_3070_118850735.htm?ca=18&w=1
Msi gaming x trio rtx 2080,260.00,2080,Unknown,"Lisätiedot
			Tästä mainio rtx 2080 uuteen kotiinTämä on yksi parhaista ellei jopa paras rtx 2080
malliHp 260eur tulkaa rohkeasti tarjoamaan en hintaa
kovin paljoa laske kuitenkaan!",https://www.tori.fi/uusimaa/Msi_gaming_x_trio_rtx_2080_118847174.htm?ca=18&w=1
Asus GTX 1070Ti 8GB Cerberus,130.00,1070,8gb,"Lisätiedot
			Hyväkuntoinen näytönohjain tarpeettomana. Mukana
ESD-pussi. Avaamaton kortti, ei mainailtu. Suoraan
pelikäytössä. Espoosta nouto.",https://www.tori.fi/uusimaa/Asus_GTX_1070Ti_8GB_Cerberus__118838611.htm?ca=18&w=1
GTX 1660 ti Palit 6GB,100.00,1660,6gb,"Lisätiedot
			Näytönohjain toimii, ei ole avattu, pöly
poistettiin paineilmalla. Tuulettimet on voideltu.
Muovissa on naarmuja, jotka eivät vaikuta
suorituskykyyn.",https://www.tori.fi/uusimaa/GTX_1660_ti_Palit_6GB_118831745.htm?ca=18&w=1
Asus GeForce GTX 1650 4gb GDDR4,60.00,1650,4gb,"Lisätiedot
			Hyvässä kunnossa oleva näyttis, säilytetty mukana
tulleessa pussissa. Postitus omalla vastuulla,
mieluiten nouto Kivenlahdesta.",https://www.tori.fi/uusimaa/Asus_GeForce_GTX_1650_4gb_GDDR4_118825727.htm?ca=18&w=1
Asus Nvidia Geforce GTX 760,25.00,Unknown,Unknown,"Lisätiedot
			Hyväkuntoinen, toimivana koneesta irroitettu
Geforce GTX 760 -näytönohjain.  Nouda Taka-Töölöstä!",https://www.tori.fi/uusimaa/Asus_Nvidia_Geforce_GTX_760_118821352.htm?ca=18&w=1
Sapphire Pulse 5700 XT,150.00,5700,Unknown,"Lisätiedot
			Ollut pelikäytössä. Mukaan alkuperäinen pakkaus.
Ostettu Jimssiltä 2020.Nouto Käpylästä tai postitus.",https://www.tori.fi/uusimaa/Sapphire_Pulse_5700_XT_118820927.htm?ca=18&w=1
Asrock RX 6800 XT Phantom Gaming,450.00,6800,16gb,"Lisätiedot
			Asrock RX 6800 XT Phantom Gaming D OC 16GBLaitetaas myyntiin hyvin pelittänyt Asrockin
huippu näyttis, josta ei muistikaan ihan heti lopu
kesken. Tässä kortissa on siis jopa 16GB muistia.
Toimii niinkuin pitääkin. Näitä on harvoin
tarjolla.GPUGPU: AMD Radeon RX 6800 XTCUDA coret: 4608Kellotaajuus: 1875 Mhz / 2310 MHz (Boost)MuistiMäärä: 16GB GDDR6Muistiväylä: 256-bitNopeus: 16 GbpsLiitännät3 x DisplayPort 1.4a1 x HDMI 2.1MuutaVäylä: PCI-E 4.0 x16Mitat: 56 mm x 330 mm x 140 mmSuositeltu virtalähde: 650WVirrankulutus: 300WVirtaliitännät: 3 x 8-pinViimeisessä kuvassa testiajon tulos, toimii kuten
uutena.Mieluiten nouto, mutta voidaan postittaakin.",https://www.tori.fi/uusimaa/Asrock_RX_6800_XT_Phantom_Gaming_118818792.htm?ca=18&w=1
"Gigabyte RTX 3060 Ti Eagle 8GB, LHR",260.00,3060,8gb,"Lisätiedot
			Keskisarjan nVidia RTX 3060Ti -piirin
näytönohjain. Tuulettimet kunnossa, lämmöt ok,
kortti toimii kaikilta osin niinkuin pitääkin.
Paras valinta myös vanhemman GTX kortin
päivittäjille.GIGABYTE Eagle Geforce RTX 3060 Ti 8GB, LHRLHR malli, jolla ei voi louhia.Pituus: 242 mmLeveys: 124 mmKorkeus: 41 mmhttps://www.gigabyte.com/Graphics-Card/GV-N306TEAGLE-8GD-rev-20Nouto Vantaalta tai postitus hintaan 8,90 euroa.",https://www.tori.fi/uusimaa/Gigabyte_RTX_3060_Ti_Eagle_8GB__LHR_118818362.htm?ca=18&w=1
Asus tuf rx 6900xt top edition,650.00,6900,Unknown,"Lisätiedot
			Myydään tuf rx6900xt top edition. Toimii niinkuin
pitääkin. Ostettu jimms 5.8.2022. Eli takuuta
reippaasti jäljellä. Takuulappu ja
alkuperäislaatikko mukaan.",https://www.tori.fi/uusimaa/Asus_tuf_rx_6900xt_top_edition_118817917.htm?ca=18&w=1
Asus Strix 6750 xt,450.00,6750,Unknown,"Lisätiedot
			6750xt Strix näytönohjain myyntiin seuraavan
tieltä.Alkuperäinen pakkaus ja kuitti tallessa.Ostettu 10.12.2022, joten takuuta vielä reilusti
jäljellä.",https://www.tori.fi/uusimaa/Asus_Strix_6750_xt_118817297.htm?ca=18&w=1
Palit RTX 3070 Ti GamingPro,410.00,3070,8gb,"Lisätiedot
			Myydään Palit GeForce RTX 3070 Ti GamingPro
näytönohjain, joka toimii niinkuin pitääkin.Tehokas kolmen tuulettimen näyttis, jossa pysyy
lämmötkin matalana. Hienot ARGB ledivalot.
Virtaliittiminä 2x8pin ja virrankulutus 290W.
Muistina uudempi ja nopeampi 8GB GDDR6X.Kortti on todella hyväkuntoinen, pölystä puhdas,
valmis ruuvattavaksi uuden omistajan koneeseen.Valmistajan sivulta speksit:https://www.palit.com/palit/vgapro.php?id=4306&lang=enMieluiten nouto Helsingistä.",https://www.tori.fi/uusimaa/Palit_RTX_3070_Ti_GamingPro_115847994.htm?ca=18&w=1
GeForce RTX 3070 Tuf Gaming -näytönohjain,370.00,3070,Unknown,"Lisätiedot
			Hei,Myynnissä hyväkuntoinen GeForce RTX 3070 Tuf
Gaming -näytönohjain.Ollut käytössä 1,5v ajan, takuuta jäljellä
kevääseen 2024.",https://www.tori.fi/uusimaa/GeForce_RTX_3070_Tuf_Gaming__naytonohjain_118622248.htm?ca=18&w=1
GTX 1080 8GB Sea Hawk,250.00,1080,8gb,"Lisätiedot
			Myynnissä Nvidia GTX1080 MSI Corsair Sea Hawk
näytönohjain. Näytönohjain on hyvässä kunnossa ja
siitä on pidetty hyvää huolta ajan myötä. Edelleen
hyvin tehokas, ja integroidun vesijäähdytyksen
ansiosta pysyy erittäin kylmänä muihin
näytönohjaimiin verrattuna.VRAM 8GB GDDR5XDirectX 12(Kaikki tekniset tiedot löytyy netistä)Mieluiten haku. Kysymykset viestitse.",https://www.tori.fi/uusimaa/GTX_1080_8GB_Sea_Hawk_118812819.htm?ca=18&w=1
Gigabyte GeForce RTX 3070 GAMING OC 8G 2.0,360.00,3070,Unknown,"Lisätiedot
			Pidetty 0.9v @1775, jolloin kortti on hiljainen.
Hyvin toiminut, ei yhtään ongelmia ole ollut.
Ostettu viitisen kuukautta sitten Verkkokaupasta,
eli pitkä takuu vielä. Pelailtu vain Hell Let
Loosea. LHR malli. Myydään tehokkaamman tieltä
pois, eli ei tarvetta vaihdoille!Mukaan orkkisboxi ja takuukuitti.Vain nouto Pohjois-Haagasta ja maksu MobilePaylla.",https://www.tori.fi/uusimaa/Gigabyte_GeForce_RTX_3070_GAMING_OC_8G_2_0_118810730.htm?ca=18&w=1
Rx 5500 xt (2 kpl),65.00,5500,Unknown,"Lisätiedot
			Kaksi RX 5500 XT korttia ilman tuulettimia ja
koteloita. Mahdollisuus asentaa uudet jos löytyy
innostusta. Voin myös vaihtaa 5700 xt korttiin ja
maksaa välirahaa tai jos molemmat niin ilman
välirahaa.65/kpl tai 120 molemmat",https://www.tori.fi/uusimaa/Rx_5500_xt__2_kpl__118801492.htm?ca=18&w=1
NVIDIA Quadro RTX 4000 8 Gt -näytönohjain,1357.00,quadro,Unknown,"Lisätiedot
			Vaihdetaan vastaavan hintaiseen peli
näytönohjaimeen.https://www.verkkokauppa.com/fi/product/582040/PNY-NVIDIA-Quadro-RTX-4000-8-Gt-naytonohjain",https://www.tori.fi/uusimaa/NVIDIA_Quadro_RTX_4000_8_Gt__naytonohjain_118785780.htm?ca=18&w=1
EVGA Geforce GTX 980 Ti,90.00,980,Unknown,"Lisätiedot
			Myydään käytetty näytönohjain. Takuuta, kuittia
tai alkuperäistä pakkausta ei enää jäljellä. Hinta
ei sisällä postikuluja.",https://www.tori.fi/uusimaa/EVGA_Geforce_GTX_980_Ti_118785742.htm?ca=18&w=1
Näytönohjaimet ASUS TUF RTX 3080 OC 10G,499.00,3080,Unknown,"Lisätiedot
			Vähän käytössä olevia näytönohaimia.",https://www.tori.fi/uusimaa/Naytonohjaimet_ASUS_TUF_RTX_3080_OC_10G_118775591.htm?ca=18&w=1
Asus Strix 1080 8G,120.00,1080,Unknown,"Lisätiedot
			Hyvin palvellut näyttis pois uuden tieltä. Alkuperäistä laatikkoa ei enää ole.",https://www.tori.fi/uusimaa/Asus_Strix_1080_8G_118769064.htm?ca=18&w=1
Inno3D Geforce GTX 1070,90.00,1070,Unknown,"Lisätiedot
			Siitä uuden näytönohjaimen tieltä vanha myyntiin.
Näytönohjain tullut konepaketissa 2020 ja ollut
siitä lähtien pelkällä pelikäytöllä. Toinen
tuulettimista on vaihdon tarpeessa. ( jopa
pienikin rasitus saa ääntämään vähän kovemmin)
mutta toimii silti huoletta. Tahnat vaihdettu
juuri. Testattu toimivaksi ja lämmöt rasituksessa
max 77 astetta (furmark) Pakettia ei ole, joten mielellään nouto
Mäntsälästä. Näytönohjainta voi testata
halutessaan paikanpäällä.",https://www.tori.fi/uusimaa/Inno3D_Geforce_GTX_1070_118767235.htm?ca=18&w=1
EVGA RTX 2070 XC Ultra Gaming 8GB,220.00,2070,8gb,"Lisätiedot
			Myydään uuden tieltä suoraan käytöstä. Ei coil
whineä, lämmöt omassa kokoonpanossa 50-60 astetta.
Alkuperäinen paketti mukaan.",https://www.tori.fi/uusimaa/EVGA_RTX_2070_XC_Ultra_Gaming_8GB_118764526.htm?ca=18&w=1
"Rtx 3090 24gb, helsinki",1100.00,3090,24gb,"Lisätiedot
			Hankin tämän tekoälyllä tehtävään
kuvanmuokkaukseen, mutta en enää tarvitse sitä. Ei
ole louhittu, eikä juurikaan muuten käytetty.
Alkuperäinen pakkaus. Haettavissa Malmilta.
Käteisellä.",https://www.tori.fi/uusimaa/Rtx_3090_24gb__helsinki_118762279.htm?ca=18&w=1
GeForce GTX 1050 Ti GAMING X 4G,50.00,1050,Unknown,"Lisätiedot
			Muutaman vuoden käytössä ollut normaali kuntoinen
näytönohjain.",https://www.tori.fi/uusimaa/GeForce_GTX_1050_Ti_GAMING_X_4G_118762119.htm?ca=18&w=1
Asus Gtx 1660 super näytönohjain,90.00,1660,Unknown,"Lisätiedot
			Vuoden käytössä ollut pelinäytönohjain toimii
ilman mitään vikoja. Ostettu 2022 ja pyörittää
uusimpiakin pelejä hyvin. Myydään pois uuden
tilalta",https://www.tori.fi/uusimaa/Asus_Gtx_1660_super_naytonohjain_118761237.htm?ca=18&w=1
Asus GeForce RTX 3060 Ti DUAL - OC Edition (LHR),280.00,3060,Unknown,"Lisätiedot
			Tuotteesta puuttuu näytönohjaimen suojamuovi mutta
muuten kaikki mukanaKaupat noutona & maksutapana MobilePayhttps://www.asus.com/fi/motherboards-components/graphics-cards/dual/dual-rtx3060ti-o8g/",https://www.tori.fi/uusimaa/Asus_GeForce_RTX_3060_Ti_DUAL___OC_Edition__LHR__118758905.htm?ca=18&w=1
Msi Geforce GTX 1060 6gb,60.00,1060,6gb,"Lisätiedot
			Itselle ylimääräinen, toimivana purettu
näytönohjain. En postita",https://www.tori.fi/uusimaa/Msi_Geforce_GTX_1060_6gb_118757108.htm?ca=18&w=1
Näytönohjain - ASUS DirectCU II Radeon R9 280 3GB,40.00,Unknown,3gb,"Lisätiedot
			ASUS DirectCU II Radeon R9 280 3GB GDDR5 PCI
Express 3.0CrossFireX Support Video Card R9280-DC2T-3GD5Muuta:Itse kupu puuttuu, mutta huomioitu hinnassa...Tämän takia kunto vain hyvä ei erinomainen...Voit soittaa, tai tekstata minulle numeroon...WhatsApp:lla sekä normaalisti:Puh. 0400516246Muista katsella muutkin Tori-ilmoitukseni.Kirjainmerkitse Kaikki-Ilmoitukseni Sivut...(Myytävä vaihtuu Usein.)Otan Kaikenlaisia Tarjouksia Vastaan...",https://www.tori.fi/uusimaa/Naytonohjain___ASUS_DirectCU_II_Radeon_R9_280_3GB_118754723.htm?ca=18&w=1
Amd Radeon RX 570 Series näytönohjain,120.00,570 ,8 gb,"Lisätiedot
			Kunto: Hyvä.Käyttöaika: 3 vuotta.Muisti: 8 GB.",https://www.tori.fi/uusimaa/Amd_Radeon_RX_570_Series_naytonohjain_118751908.htm?ca=18&w=1
ASUS Phoenix GeForce GTX 1660 Ti OC edition,130.00,1660,Unknown,"Lisätiedot
			Used GTX 1660 Ti for sale. Works well, selling due
to upgrade. Pickup from Lehtisaari.",https://www.tori.fi/uusimaa/ASUS_Phoenix_GeForce_GTX_1660_Ti_OC_edition_118734549.htm?ca=18&w=1
