productName_ext,memSize_ext,productName_base,memSize_base
GeForce RTX 3060 Ti GA103,8.0,GeForce RTX 3060,12.0
GeForce RTX 3080 Ti 20 GB,20.0,GeForce RTX 3080,10.0
GeForce RTX 3090 Ti,24.0,GeForce RTX 3090,24.0
GeForce RTX 4080 Ti,20.0,GeForce RTX 4080,16.0
GeForce RTX 3070 Ti,8.0,GeForce RTX 3070,8.0
GeForce RTX 3080 Ti,12.0,GeForce RTX 3080,10.0
GeForce RTX 3060 Ti,8.0,GeForce RTX 3060,12.0
GeForce GTX 1660 Ti,6.0,GeForce GTX 1660,6.0
GeForce RTX 2080 Ti,11.0,GeForce RTX 2080,8.0
GeForce GTX 1070 Ti,8.0,GeForce GTX 1070,8.0
GeForce GTX 1080 Ti,11.0,GeForce GTX 1080,8.0
GeForce GTX 1050 Ti,4.0,GeForce GTX 1050,2.0
Radeon RX 6500 XT,4.0,,
Radeon RX 6650 XT,8.0,,
Radeon RX 6750 XT,12.0,,
Radeon RX 6950 XT,16.0,,
Radeon RX 7700 XT,8.0,,
Radeon RX 7800 XT,12.0,,
Radeon RX 7900 XT,16.0,,
Radeon RX 6600 XT,8.0,Radeon RX 6600,8.0
Radeon RX 6700 XT,12.0,Radeon RX 6700,6.0
Radeon Pro 5500 XT,8.0,,
Radeon Pro 5700 XT,16.0,Radeon Pro 5700,8.0
Radeon RX 5600 XT,6.0,,
Radeon RX 6800 XT,16.0,Radeon RX 6800,16.0
Radeon RX 6900 XT,16.0,,
Radeon RX 5300 XT,4.0,Radeon RX 5300,3.0
Radeon RX 5500 XT,4.0,,
Radeon RX 560 XT,4.0,Radeon RX 560,4.0
Radeon RX 5700 XT,8.0,Radeon RX 5700,8.0
Radeon RX 5700 XT 50th Anniversary,8.0,Radeon RX 5700,8.0
