Title,Price,Description,Link,Date,Condition,Fetched Timestamp
Title not found,Price not found,Description not found,https://autot.tori.fi,Date not found,Condition not found,2023-10-02 01:02:45
"Gigabyte RTX 3060 Ti Eagle 8GB, LHR",250.00,"Lisätiedot
			Keskisarjan nVidia RTX 3060Ti -piirin
näytönohjain. Tuulettimet kunnossa, lämmöt ok,
kortti toimii kaikilta osin niinkuin pitääkin.
Paras valinta myös vanhemman GTX kortin
päivittäjille.GIGABYTE Eagle Geforce RTX 3060 Ti 8GB, LHRLHR malli, jolla ei voi louhia.Pituus: 242 mmLeveys: 124 mmKorkeus: 41 mmhttps://www.gigabyte.com/Graphics-Card/GV-N306TEAGLE-8GD-rev-20Nouto Vantaalta tai postitus hintaan 8,90 euroa.",https://www.tori.fi/uusimaa/Gigabyte_RTX_3060_Ti_Eagle_8GB__LHR_118818362.htm?ca=18&w=1,1 lokakuuta 11:36,-,2023-10-02 01:02:47
Gtx 1650,60.00,"Lisätiedot
			Kuvissa infot, haku Hyvinkäältä",https://www.tori.fi/uusimaa/Gtx_1650_118902901.htm?ca=18&w=1,29 syyskuuta 15:44,Erinomainen,2023-10-02 01:02:48
Geforce GTX 1660 super,100.00,"Lisätiedot
			Msi Geforce GTX ventus XS OC editionOstettu 23.2.2020Käytetty ainoastaan pelailuun ( ei joka päiväiseen
) Ei louhittu.Erinomainen kunto, suoraan käytöstä, myyn uuden
tieltä pois. Täydellinen pakkaus.Käteiskaupat. Nouto Itäkeskuksessa.Ominaisuudet:Piiri: GeForce GTX 1660 SuperCUDA-ydinten määrä: 1408Kellotaajuus: 1830 MHz (Boost)Muisti: 6144 Mt, 192-bit GDDR6Muistin kellotaajuus: 14000 MHzVäylä: PCI-Express 3.01 x HDMI 2.0b, 3 x Display Port 1.4Maksimiresoluutio: 7680 x 4320Näyttöjen maksimimäärä: 4NVLink/SLI-tuki: EiNVIDIA PhysX, CUDAAdaptive V-Sync -tukiG-SYNC -tukiOpenGL 4.5Mitat: 20,4 x 12,8 x 4,2 cmVirtaliittimet: 1 x 8-pinVirrankulutus: 125 WVirtalähdesuositus: 450 W",https://www.tori.fi/uusimaa/Geforce_GTX_1660_super_118901949.htm?ca=18&w=1,29 syyskuuta 15:21,Erinomainen,2023-10-02 01:02:49
Asus Nvidia Geforce GTX 760,25.00,"Lisätiedot
			Hyväkuntoinen, toimivana koneesta irroitettu
Geforce GTX 760 -näytönohjain.  Nouda Taka-Töölöstä!",https://www.tori.fi/uusimaa/Asus_Nvidia_Geforce_GTX_760_118821352.htm?ca=18&w=1,27 syyskuuta 15:00,Hyvä,01:18:16 2023-10-02
Amd Radeon RX 570 Series näytönohjain,120.00,"Lisätiedot
			Kunto: Hyvä.Käyttöaika: 3 vuotta.Muisti: 8 GB.",https://www.tori.fi/uusimaa/Amd_Radeon_RX_570_Series_naytonohjain_118751908.htm?ca=18&w=1,25 syyskuuta 19:59,Hyvä,01:18:17 2023-10-02
MSI GTX 1080 armor,140.00,"Lisätiedot
			Vanha kunnon näyttis ja pelittää hyvin. Hieman
pölyinen on, puhdistus jää ostajalle. Tuulettimet
ei äännä ja kaikki toimii kuten pitääkin. Ei
pakettia tallessa. Käytettynä hankittu. Hinta on
hyvä sellaisenaan. Nouto Espoonlahdesta tai
mahdollisesti Lohjalta viikonloppuisin. Postitus
myös onnistuu, maksu etukäteen ja ostaja maksaa
postikulut. Käteinen tai mobilepay. Suunnilleen
yhtä tehokas kuin RTX 3060.Hakusanoja : näytönohjain, nvidia geforce, kortti",https://www.tori.fi/uusimaa/MSI_GTX_1080_armor_118722215.htm?ca=18&w=1,25 syyskuuta 11:08,Hyvä,01:18:18 2023-10-02
3090ti,950.00,"Lisätiedot
			erinomaisessa kunnossa oleva 3090ti suprim xostettu jimsiltä: 2.8.2022 eli vielä 2 vuotta
löytyy takuuta.nouto vain karkkilasta. Hinta on tiukka.",https://www.tori.fi/uusimaa/3090ti_118719047.htm?ca=18&w=1,25 syyskuuta 09:58,Erinomainen,01:18:19 2023-10-02
MSI Radeon Rx5700 XT gaming x,185.00,"Lisätiedot
			Myynnissä tehokas näytönohjain ostettu 19.06.2020
verkkokaupasta kuitti löytyy. Uuden tieltä pois,
alkuvuodesta asti ollut käyttömättämänä. Sopii
hyvinn full hd ja uhd pelaamiseen.",https://www.tori.fi/uusimaa/MSI_Radeon_Rx5700_XT_gaming_x_118703661.htm?ca=18&w=1,24 syyskuuta 19:45,Erinomainen,01:18:20 2023-10-02
Radeon 5600 xt näytönohjain,120.00,"Lisätiedot
			Sapphire radeon 5600 xt pulse näytönohjain.
Pelattu cs:go, ei juuri muuta...Kortissa korkeampien kellotaajuuksien bios
(https://www.pcgamer.com/sapphire-details-how-to-update-its-radeon-rx-5600-pulse-bios-to-make-it-run-faster/).Voi myös tarjota vähemmän, jos hinta on mielestäsi
kohtuuton. Mut menee ekalle täyden hinnan
tarjoajalle.",https://www.tori.fi/uusimaa/Radeon_5600_xt_naytonohjain_118237422.htm?ca=18&w=1,14 syyskuuta 19:29,Erinomainen,01:18:21 2023-10-02
Gigabyte G1 gaming GTX 970,50.00,"Lisätiedot
			Siisti näyttis orkkis laatikossa. Muistaakseni 3kk
sitten vaihdoin tahnat ja ajoin rasitustestiä
useamman tunnin.Kolmiosainen iso jäähy kolmella tuulettimella, GTX
970 korteista vahvin virransyöttö.",https://www.tori.fi/uusimaa/Gigabyte_G1_gaming_GTX_970_117415732.htm?ca=18&w=1,27 elokuuta 14:04,Hyvä,01:18:23 2023-10-02
Gigabyte GeForce RTX 2070 Super Gaming OC 8G,300.00,"Lisätiedot
			FeaturesPowered by GeForce® RTX 2070 SUPERIntegrated with 8GB GDDR6 256-bit memory
interface. WINDFORCE 3X Cooling System with
alternate spinning fans RGB Fusion 2.0 synchronize
with other AORUS devices. Metal Back Plate.",https://www.tori.fi/uusimaa/Gigabyte_GeForce_RTX_2070_Super_Gaming_OC_8G_117064601.htm?ca=18&w=1,19 elokuuta 20:49,Erinomainen,01:18:24 2023-10-02
Manli Geforce Rtx 3060 Ti,270.00,"Lisätiedot
			Pituus 265 mm. 2x8 lisävirrat.",https://www.tori.fi/uusimaa/Manli_Geforce_Rtx_3060_Ti_118875026.htm?ca=18&w=1,28 syyskuuta 19:29,Erinomainen,01:28:09 2023-10-02
Geforce GTX 1660 Super Ghost / Takuu voimassa,120.00,"Lisätiedot
			Erinomaisesti toimiva ja tehokas Geforce GTX 1660
Super 6 GB  näytönohjain, joka suunniteltu
pelaamiseen. Itse pelannut tällä mm. RDR2 ja
vastaavia pelejä. Ikää näytönohjaimella on pari
vuotta ja takuuta vajaa vuosi vielä jäljellä.
Mukaan kuitti Verkkokauppaan.Lisätiedothttps://www.verkkokauppa.com/fi/product/692974/Gainward-GeForce-GTX-1660-SUPER-Ghost-OC-naytonohjainOminaisuudet:Piiri: GeForce GTX 1660 SuperCUDA-ydinten määrä: 1408Kellotaajuus: 1830 MHz (Boost)Muisti: 6144 Mt, 192-bit GDDR6Muistin kellotaajuus: 14000 MHzVäylä: PCI-Express 3.01 x HDMI 2.0, Display Port 1.4. DVI-DMaksimiresoluutio: 7680 x 4320Näyttöjen maksimimäärä: 3NVLink/SLI-tuki: EiNVIDIA PhysX, CUDAAdaptive V-Sync -tukiG-SYNC -tukiOpenGL 4.5Mitat: 235 x 115 mm / 2 slotVirtaliittimet: 1 x 8-pinVirtalähdesuositus: 450 WNouto tai postit 6e lisätään hintaan.",https://www.tori.fi/uusimaa/Geforce_GTX_1660_Super_Ghost___Takuu_voimassa_118853369.htm?ca=18&w=1,28 syyskuuta 11:49,Erinomainen,01:28:10 2023-10-02
Rog Strix Ge Force Rtx 3070,450.00,"Lisätiedot
			Myynnissä uudenveroinen näytönohjain. Nouto koivukylästä tai pk lisätään.",https://www.tori.fi/uusimaa/Rog_Strix_Ge_Force_Rtx_3070_118850735.htm?ca=18&w=1,28 syyskuuta 10:47,Erinomainen,01:28:11 2023-10-02
Asus GeForce GTX 1650 4gb GDDR4,50.00,"Lisätiedot
			Hyvässä kunnossa oleva näyttis, säilytetty mukana
tulleessa pussissa. Postitus omalla vastuulla,
mieluiten nouto Kivenlahdesta.",https://www.tori.fi/uusimaa/Asus_GeForce_GTX_1650_4gb_GDDR4_118825727.htm?ca=18&w=1,27 syyskuuta 16:35,Hyvä,01:28:11 2023-10-02
Asus Nvidia Geforce GTX 760,25.00,"Lisätiedot
			Hyväkuntoinen, toimivana koneesta irroitettu
Geforce GTX 760 -näytönohjain.  Nouda Taka-Töölöstä!",https://www.tori.fi/uusimaa/Asus_Nvidia_Geforce_GTX_760_118821352.htm?ca=18&w=1,27 syyskuuta 15:00,Hyvä,01:28:12 2023-10-02
Title not found,Price not found,Description not found,https://autot.tori.fi,Date not found,Condition not found,01:28:15 2023-10-02
Title not found,Price not found,Description not found,https://autot.tori.fi/vaihtoautot?korimalli=avolava,Date not found,Condition not found,01:28:16 2023-10-02
Title not found,Price not found,Description not found,https://autot.tori.fi/vaihtoautot?korimalli=avoauto&hinta-max=8000,Date not found,Condition not found,01:28:17 2023-10-02
Title not found,Price not found,Description not found,https://autot.tori.fi/vaihtoautot?korimalli=farmari%2Ctila-auto,Date not found,Condition not found,01:28:18 2023-10-02
