Title,Price,GPU_Category,Description,Link
Geforce GTX 1660 Super Ghost / Takuu voimassa,120.00,1660,"Lisätiedot
			Erinomaisesti toimiva ja tehokas Geforce GTX 1660
Super 6 GB  näytönohjain, joka suunniteltu
pelaamiseen. Itse pelannut tällä mm. RDR2 ja
vastaavia pelejä. Ikää näytönohjaimella on pari
vuotta ja takuuta vajaa vuosi vielä jäljellä.Lisätiedothttps://www.verkkokauppa.com/fi/product/692974/Gainward-GeForce-GTX-1660-SUPER-Ghost-OC-naytonohjainOminaisuudet:Piiri: GeForce GTX 1660 SuperCUDA-ydinten määrä: 1408Kellotaajuus: 1830 MHz (Boost)Muisti: 6144 Mt, 192-bit GDDR6Muistin kellotaajuus: 14000 MHzVäylä: PCI-Express 3.01 x HDMI 2.0, Display Port 1.4. DVI-DMaksimiresoluutio: 7680 x 4320Näyttöjen maksimimäärä: 3NVLink/SLI-tuki: EiNVIDIA PhysX, CUDAAdaptive V-Sync -tukiG-SYNC -tukiOpenGL 4.5Mitat: 235 x 115 mm / 2 slotVirtaliittimet: 1 x 8-pinVirtalähdesuositus: 450 WNouto tai postit 6e lisätään hintaan.",https://www.tori.fi/uusimaa/Geforce_GTX_1660_Super_Ghost___Takuu_voimassa_118853369.htm?ca=18&w=1
XFX R9 390X DD 8Gb GDDR5,65.00,1060,"Lisätiedot
			Myydään otsikon kortti tarpeettomana
toimivuustakuulla. Tämä on 390:n tehokkaampi ""X""
versio jossa on mm. enemmän shadereita, kovemmat
tehot näkyvät hyvin kuvakaappauksen 3DMarkin Fire
Strike pisteissä. Nvidian kortteihin verrattuna tämän suorituskyky
on about GTX 1060:n luokkaa, mutta tässä on
enemmän muistia (8Gb). Näyttis on siistissä
kunnossa ja lämpötahnat on vaihdettu, mutta
tuulettimet eivät ole hiljaisimmasta päästä.Liittimet: HDMI, DisplayPort, 2xDVINouto tai lähetys, noudolla korttia saa
halutessaan testata ensin. Ostaja maksaa
mahdolliset postikulut. Maksutavat: käteinen,
Mobilepay, tilisiirto",https://www.tori.fi/uusimaa/XFX_R9_390X_DD_8Gb_GDDR5_118851263.htm?ca=18&w=1
Rog Strix Ge Force Rtx 3070,450.00,3070,"Lisätiedot
			Myynnissä uudenveroinen näytönohjain. Nouto koivukylästä tai pk lisätään.",https://www.tori.fi/uusimaa/Rog_Strix_Ge_Force_Rtx_3070_118850735.htm?ca=18&w=1
Msi gaming x trio rtx 2080,260.00,2080,"Lisätiedot
			Tästä mainio rtx 2080 uuteen kotiinTämä on yksi parhaista ellei jopa paras rtx 2080
malliHp 260eur tulkaa rohkeasti tarjoamaan en hintaa
kovin paljoa laske kuitenkaan!",https://www.tori.fi/uusimaa/Msi_gaming_x_trio_rtx_2080_118847174.htm?ca=18&w=1
Asus GTX 1070Ti 8GB Cerberus,130.00,1070,"Lisätiedot
			Hyväkuntoinen näytönohjain tarpeettomana. Mukana
ESD-pussi. Avaamaton kortti, ei mainailtu. Suoraan
pelikäytössä. Espoosta nouto.",https://www.tori.fi/uusimaa/Asus_GTX_1070Ti_8GB_Cerberus__118838611.htm?ca=18&w=1
GTX 1660 ti Palit 6GB,100.00,1660,"Lisätiedot
			Näytönohjain toimii, ei ole avattu, pöly
poistettiin paineilmalla. Tuulettimet on voideltu.
Muovissa on naarmuja, jotka eivät vaikuta
suorituskykyyn.",https://www.tori.fi/uusimaa/GTX_1660_ti_Palit_6GB_118831745.htm?ca=18&w=1
Asus GeForce GTX 1650 4gb GDDR4,60.00,1650,"Lisätiedot
			Hyvässä kunnossa oleva näyttis, säilytetty mukana
tulleessa pussissa. Postitus omalla vastuulla,
mieluiten nouto Kivenlahdesta.",https://www.tori.fi/uusimaa/Asus_GeForce_GTX_1650_4gb_GDDR4_118825727.htm?ca=18&w=1
Asus Nvidia Geforce GTX 760,25.00,Unknown,"Lisätiedot
			Hyväkuntoinen, toimivana koneesta irroitettu
Geforce GTX 760 -näytönohjain.  Nouda Taka-Töölöstä!",https://www.tori.fi/uusimaa/Asus_Nvidia_Geforce_GTX_760_118821352.htm?ca=18&w=1
Sapphire Pulse 5700 XT,150.00,5700,"Lisätiedot
			Ollut pelikäytössä. Mukaan alkuperäinen pakkaus.
Ostettu Jimssiltä 2020.Nouto Käpylästä tai postitus.",https://www.tori.fi/uusimaa/Sapphire_Pulse_5700_XT_118820927.htm?ca=18&w=1
Asrock RX 6800 XT Phantom Gaming,450.00,6800,"Lisätiedot
			Asrock RX 6800 XT Phantom Gaming D OC 16GBLaitetaas myyntiin hyvin pelittänyt Asrockin
huippu näyttis, josta ei muistikaan ihan heti lopu
kesken. Tässä kortissa on siis jopa 16GB muistia.
Toimii niinkuin pitääkin. Näitä on harvoin
tarjolla.GPUGPU: AMD Radeon RX 6800 XTCUDA coret: 4608Kellotaajuus: 1875 Mhz / 2310 MHz (Boost)MuistiMäärä: 16GB GDDR6Muistiväylä: 256-bitNopeus: 16 GbpsLiitännät3 x DisplayPort 1.4a1 x HDMI 2.1MuutaVäylä: PCI-E 4.0 x16Mitat: 56 mm x 330 mm x 140 mmSuositeltu virtalähde: 650WVirrankulutus: 300WVirtaliitännät: 3 x 8-pinViimeisessä kuvassa testiajon tulos, toimii kuten
uutena.Mieluiten nouto, mutta voidaan postittaakin.",https://www.tori.fi/uusimaa/Asrock_RX_6800_XT_Phantom_Gaming_118818792.htm?ca=18&w=1
